date,revenue,expenses,profit,employees,customers,retention,satisfaction,department
2025-10-01,1200000,850000,350000,150,450,88.5,7.8,Operations
2025-10-15,1250000,870000,380000,152,465,89.2,8.1,Operations
2025-11-01,1180000,880000,300000,151,440,85.3,7.4,Operations
2025-11-15,1150000,890000,260000,150,425,83.1,7.2,Operations
2025-12-01,1100000,900000,200000,148,410,81.5,6.9,Operations
2025-12-15,1080000,920000,160000,147,395,79.8,6.5,Operations
2026-01-01,1050000,930000,120000,145,380,77.2,6.2,Operations
2026-01-15,1020000,940000,80000,144,365,75.5,5.9,Operations
2026-02-01,980000,950000,30000,142,350,73.8,5.6,Operations
2026-02-15,950000,960000,-10000,140,335,71.2,5.3,Operations
