date,revenue,costs,employees,customers,complaints,churn_rate,satisfaction_score
2024-01-01,100000,60000,50,1000,5,2.5,8.2
2024-01-02,102000,61000,50,1020,7,2.3,8.1
2024-01-03,98000,59000,51,1015,4,2.1,8.3
2024-01-04,101000,60500,51,1030,6,2.4,8.0
2024-01-05,99000,60000,52,1025,5,2.2,8.2
2024-01-06,103000,61500,52,1040,8,2.6,7.9
2024-01-07,97000,59500,52,1035,3,2.0,8.4
2024-01-08,100000,60000,53,1045,5,2.3,8.1
2024-01-09,102000,61000,53,1055,6,2.4,8.0
2024-01-10,98000,59000,54,1050,4,2.1,8.3
2024-01-11,101000,60500,54,1060,7,2.5,7.8
2024-01-12,99000,60000,55,1055,5,2.2,8.2
2024-01-13,250000,85000,55,1070,25,8.5,6.5
2024-01-14,100000,60000,56,1065,6,2.3,8.1
2024-01-15,102000,61000,56,1075,5,2.2,8.2
